#########################################################################################
-----------------------------------------------------------------------------------------
                              3PG Fault Analysis 
-----------------------------------------------------------------------------------------
 BUS |        Va       |       Vb       |       Vc       |
     |REAL      IMAG   |REAL     IMAG   |REAL     IMAG   |
 1   |0.984    -0.004  |-0.495   -0.850  | -0.489  0.854  |
 2   |0.976    -0.006  |-0.493   -0.842  | -0.483  0.848  |
 3   |0.986    -0.005  |-0.497   -0.851  | -0.489  0.856  |
 4   |0.858    -0.002  |-0.430   -0.742  | -0.428  0.744  |
 5   |0.830    0.005  |-0.410   -0.721  | -0.419  0.716  |
 6   |0.303    -0.085  |-0.225   -0.220  | -0.078  0.305  |
 7   |0.840    -0.029  |-0.445   -0.713  | -0.395  0.742  |
 8   |0.984    -0.004  |-0.495   -0.850  | -0.489  0.854  |
 9   |0.615    -0.070  |-0.369   -0.498  | -0.247  0.568  |
10   |0.561    -0.076  |-0.346   -0.448  | -0.215  0.524  |
11   |0.436    -0.083  |-0.290   -0.336  | -0.146  0.419  |
12   |0.147    -0.073  |-0.137   -0.091  | -0.010  0.164  |
13   |0.000    -0.000  |-0.000   0.000  | 0.000  0.000  |
14   |0.347    -0.042  |-0.210   -0.280  | -0.137  0.322  |
-----------------------------------------------------------------------------------------
 BUS |        Iaf      |       Ibf      |       Icf      |
     |REAL      IMAG   |REAL     IMAG   |REAL      IMAG  |
14   |0.921    -3.480  |-3.474   0.943  | 2.553  2.537  |
